Fecha,Confirmados,Activos,Recuperados,Fallecidos
12/03/2022,805030,24783,763094,17153
13/03/2022,805393,22929,765305,17159
14/03/2022,807453,21829,768454,17170
15/03/2022,809586,21077,771331,17178
16/03/2022,812125,20356,774578,17191
17/03/2022,814111,19623,777282,17206
18/03/2022,815776,18714,779831,17231
19/03/2022,816136,17726,781172,17238
20/03/2022,816653,16899,782513,17241
21/03/2022,818454,16100,785101,17253
22/03/2022,820477,15421,787798,17258
23/03/2022,821834,14487,790080,17267
24/03/2022,823145,13543,792328,17274
25/03/2022,824159,12714,794167,17278
26/03/2022,824502,11867,795350,17285
27/03/2022,824644,11067,796288,17289
28/03/2022,826061,10428,798338,17295
29/03/2022,827596,9876,800420,17300
